City,Rate,County
Dunnigan,7.25%,Yolo
Dunsmuir,7.75%,Siskiyou
Durham,7.25%,Butte
Dutch Flat,7.25%,Placer
Eagle Mountain,7.75%,Riverside
Eagle Rock (Los Angeles),9.50%,Los Angeles
Eagleville,7.25%,Modoc
Earlimart,7.75%,Tulare
Earp,7.75%,San Bernardino
East Highlands (Highland),7.75%,San Bernardino
East Irvine (Irvine),7.75%,Orange
East Los Angeles,9.50%,Los Angeles
East Lynwood (Lynwood),10.25%,Los Angeles
East Nicolaus,7.25%,Sutter
East Palo Alto,9.88%,San Mateo
East Porterville,7.75%,Tulare
East Rancho Dominguez,9.50%,Los Angeles
East San Pedro (Los Angeles),9.50%,Los Angeles
Eastgate,9.50%,Los Angeles
Easton,7.98%,Fresno
Eastside,7.75%,San Bernardino
Eastvale,7.75%,Riverside
Echo Lake,7.25%,El Dorado
Echo Park (Los Angeles),9.50%,Los Angeles
Edgemont (Moreno Valley),7.75%,Riverside
Edgewood,7.25%,Siskiyou
Edison,8.25%,Kern
Edwards,8.25%,Kern
Edwards A.F.B.,8.25%,Kern
El Cajon,8.25%,San Diego
El Centro,8.25%,Imperial
El Cerrito,10.25%,Contra Costa
El Dorado,7.25%,El Dorado
El Dorado Hills,7.25%,El Dorado
El Granada,9.38%,San Mateo
El Macero,7.25%,Yolo
El Modena,7.75%,Orange
El Monte,10.00%,Los Angeles
El Nido,7.75%,Merced
El Portal,8.75%,Mariposa
El Segundo,9.50%,Los Angeles
El Sobrante,8.75%,Contra Costa
El Toro (Lake Forest),7.75%,Orange
El Toro M.C.A.S.,7.75%,Orange
El Verano,8.50%,Sonoma
El Viejo,7.88%,Stanislaus
Eldridge,8.50%,Sonoma
Elizabeth Lake,9.50%,Los Angeles
Elk,7.88%,Mendocino
Elk Creek,7.25%,Glenn
Elk Grove,8.75%,Sacramento
Elmira,7.38%,Solano
Elmwood,10.25%,Alameda
Elverta,7.75%,Sacramento
Emerald Hills (Redwood City),9.88%,San Mateo
Emeryville,10.50%,Alameda
Emigrant Gap,7.25%,Placer
Empire,7.88%,Stanislaus
Encinitas,7.75%,San Diego
Encino (Los Angeles),9.50%,Los Angeles
Enterprise,7.25%,Shasta
Escalon,7.75%,San Joaquin
Escondido,7.75%,San Diego
Esparto,7.25%,Yolo
Essex,7.75%,San Bernardino
Etiwanda (Rancho Cucamonga),7.75%,San Bernardino
Etna,7.25%,Siskiyou
Ettersburg,7.75%,Humboldt
Eureka,9.25%,Humboldt
Exeter,8.75%,Tulare
Fair Oaks,7.75%,Sacramento
Fairfax,9.00%,Marin
Fairfield,8.38%,Solano
Fairmount,8.75%,Contra Costa
Fall River Mills,7.25%,Shasta
Fallbrook,7.75%,San Diego
Fallbrook Junction,7.75%,San Diego
Fallen Leaf,7.25%,El Dorado
Fallon,8.25%,Marin
Fancher,7.98%,Fresno
Farmersville,8.75%,Tulare
Farmington,7.75%,San Joaquin
Fawnskin,7.75%,San Bernardino
Feather Falls,7.25%,Butte
Fellows,8.25%,Kern
Felton,9.00%,Santa Cruz
Fenner,7.75%,San Bernardino
Fernbridge (Fortuna),8.50%,Humboldt
Ferndale,8.50%,Humboldt
Fiddletown,7.75%,Amador
Fields Landing,7.75%,Humboldt
Fig Garden Village (Fresno),8.35%,Fresno
Fillmore,7.25%,Ventura
Finley,7.25%,Lake
Firebaugh,7.98%,Fresno
Fish Camp,8.75%,Mariposa
Five Points,7.98%,Fresno
Flinn Springs,7.75%,San Diego
Flintridge (LaCanada/ Flintridge),9.50%,Los Angeles
Florence,9.50%,Los Angeles
Floriston,7.50%,Nevada
Flournoy,7.25%,Tehama
Folsom Prison,7.75%,Sacramento
Folsom,7.75%,Sacramento
Fontana,7.75%,San Bernardino
Foothill Ranch,7.75%,Orange
Forbestown,7.25%,Butte
Forest Camp,7.25%,Alpine
Forest Falls,7.75%,San Bernardino
Forest Glen,7.25%,Trinity
Forest Knolls,8.25%,Marin
Forest Park,9.50%,Los Angeles
Forest Ranch,7.25%,Butte
Foresthill,7.25%,Placer
Forestville,8.50%,Sonoma
Forks of Salmon,7.25%,Siskiyou
Fort Bidwell,7.25%,Modoc
Fort Bragg,8.88%,Mendocino
Fort Dick,8.25%,Del Norte
Fort Irwin,7.75%,San Bernardino
Fort Jones,7.25%,Siskiyou
Fort Ord,7.75%,Monterey
Fort Ord (Marina),9.25%,Monterey
Fort Ord (Seaside),9.25%,Monterey
Fort Seward,7.75%,Humboldt
Fortuna,8.50%,Humboldt
Foster City,9.38%,San Mateo
Fountain Valley,8.75%,Orange
Fowler,8.98%,Fresno
Frazier Park,8.25%,Kern
Freedom,9.00%,Santa Cruz
Freedom (Watsonville),9.75%,Santa Cruz
Freeport,7.75%,Sacramento
Freestone,8.50%,Sonoma
Fremont,10.25%,Alameda
French Camp,7.75%,San Joaquin
French Gulch,7.25%,Shasta
Freshwater,7.75%,Humboldt
Fresno,8.35%,Fresno
Friant,7.98%,Fresno
Friendly Valley (Santa Clarita),9.50%,Los Angeles
Frontera,7.75%,Riverside
Fullerton,7.75%,Orange
Fulton,8.50%,Sonoma
Galt,9.25%,Sacramento
Garberville,7.75%,Humboldt
Garden Grove,8.75%,Orange
Garden Valley,7.25%,El Dorado
Gardena,10.25%,Los Angeles
Garey,7.75%,Santa Barbara
Garnet,7.75%,Riverside
Gasquet,8.25%,Del Norte
Gaviota,7.75%,Santa Barbara
Gazelle,7.25%,Siskiyou
George A.F.B.,7.75%,San Bernardino
Georgetown,7.25%,El Dorado
Gerber,7.25%,Tehama
Geyserville,8.50%,Sonoma
Giant Forest,7.75%,Tulare
Gillman Hot Springs,7.75%,Riverside
Gilroy,9.13%,Santa Clara
Glassell Park (Los Angeles),9.50%,Los Angeles
Glen Avon,7.75%,Riverside
Glen Ellen,8.50%,Sonoma
Glenburn,7.25%,Shasta
Glencoe,7.25%,Calaveras
Glendale,10.25%,Los Angeles
Glendora,10.25%,Los Angeles
Glenhaven,7.25%,Lake
Glenn,7.25%,Glenn
Glennville,8.25%,Kern
Gold River,7.75%,Sacramento
Gold Run,7.25%,Placer
Golden Hills,8.25%,Kern
Goleta,7.75%,Santa Barbara
Gonzales,8.75%,Monterey
Goodyears Bar,7.25%,Sierra
Gorman,9.50%,Los Angeles
Goshen,7.75%,Tulare
Government Island,10.25%,Alameda
Graeagle,7.25%,Plumas
Granada Hills (Los Angeles),9.50%,Los Angeles
Grand Terrace,7.75%,San Bernardino
Granite Bay,7.25%,Placer
Grass Valley,8.50%,Nevada
Graton,8.50%,Sonoma
Green Valley,9.50%,Los Angeles
Green Valley Lake,7.75%,San Bernardino
Greenacres,8.25%,Kern
Greenbrae (Larkspur),9.25%,Marin
Greenfield,9.50%,Monterey
Greenview,7.25%,Siskiyou
Greenville,7.25%,Plumas
Greenwood,7.25%,El Dorado
Grenada,7.25%,Siskiyou
Gridley,7.25%,Butte
Grimes,7.75%,Colusa
Grizzly Flats,7.25%,El Dorado
Groveland,7.25%,Tuolumne
Grover Beach,8.75%,San Luis Obispo
Guadalupe,8.75%,Santa Barbara
Gualala,7.88%,Mendocino
Guasti (Ontario),8.75%,San Bernardino
Guatay,7.75%,San Diego
Guerneville,8.50%,Sonoma
Guinda,7.25%,Yolo
Gustine,8.25%,Merced
Hacienda Heights,9.50%,Los Angeles
Halcyon,7.25%,San Luis Obispo
Half Moon Bay,9.38%,San Mateo
Hamilton A.F.B. (Novato),8.50%,Marin
Hamilton City,7.25%,Glenn
Hanford,7.25%,Kings
Happy Camp,7.25%,Siskiyou
Harbison Canyon,7.75%,San Diego
Harbor City (Los Angeles),9.50%,Los Angeles
Harmony,7.25%,San Luis Obispo
Harris,7.75%,Humboldt
Hat Creek,7.25%,Shasta
Hathaway Pines,7.25%,Calaveras
Havasu Lake,7.75%,San Bernardino
Hawaiian Gardens,10.25%,Los Angeles
Hawthorne,10.25%,Los Angeles
Hayfork,7.25%,Trinity
Hayward,10.75%,Alameda
Hazard,9.50%,Los Angeles
Healdsburg,9.00%,Sonoma
Heber,7.75%,Imperial
Helena,7.25%,Trinity
Helendale,7.75%,San Bernardino
Helm,7.98%,Fresno
Hemet,8.75%,Riverside
Herald,7.75%,Sacramento
Hercules,9.25%,Contra Costa
Herlong,7.25%,Lassen
Hermosa Beach,9.50%,Los Angeles
Herndon,7.98%,Fresno
Hesperia,7.75%,San Bernardino
Heyer,10.25%,Alameda
Hickman,7.88%,Stanislaus
Hidden Hills,9.50%,Los Angeles
Highgrove,7.75%,Riverside
Highland Park (Los Angeles),9.50%,Los Angeles
Highland,7.75%,San Bernardino
Highway City (Fresno),8.35%,Fresno
Hillcrest (San Diego),7.75%,San Diego
Hillsborough,9.38%,San Mateo
Hillsdale (San Mateo),9.63%,San Mateo
Hilmar,7.75%,Merced
Hilt,7.25%,Siskiyou
Hinkley,7.75%,San Bernardino
Hobergs,7.25%,Lake
Hollister,9.25%,San Benito
Hollywood (Los Angeles),9.50%,Los Angeles
Holmes,7.75%,Humboldt
Holt,7.75%,San Joaquin
Holtville,7.75%,Imperial
Holy City,9.13%,Santa Clara
Homeland,7.75%,Riverside
Homestead,8.25%,Kern
Homestead,7.75%,Riverside
Homewood,7.25%,Placer
Honby,9.50%,Los Angeles
Honeydew,7.75%,Humboldt
Hood,7.75%,Sacramento
Hoopa,7.75%,Humboldt
Hope Valley,7.25%,Alpine
Hopland,7.88%,Mendocino
Hornbrook,7.25%,Siskiyou
Hornitos,8.75%,Mariposa
Horse Creek,7.25%,Siskiyou
Horse Lake,7.25%,Lassen
Hughson,7.88%,Stanislaus
Hume,7.98%,Fresno
Huntington,7.75%,Orange
Huntington Beach,7.75%,Orange
Huntington Lake,7.98%,Fresno
Huntington Park,10.25%,Los Angeles
Huron,8.98%,Fresno
Hyampom,7.25%,Trinity
Hyde Park (Los Angeles),9.50%,Los Angeles
Hydesville,7.75%,Humboldt
Idria,8.25%,San Benito
Idyllwild,7.75%,Riverside
Ignacio (Novato),8.50%,Marin
Igo,7.25%,Shasta
Imola (Napa),7.75%,Napa
Imperial Beach,8.75%,San Diego
Imperial,7.75%,Imperial
Independence,7.75%,Inyo
Indian Wells,7.75%,Riverside
Indio,8.75%,Riverside
Industry,9.50%,Los Angeles
Inglewood,10.00%,Los Angeles
Inverness,8.25%,Marin
Inyo,7.75%,Inyo
Inyokern,8.25%,Kern
Ione,7.75%,Amador
Iowa Hill,7.25%,Placer
Irvine,7.75%,Orange
Irwindale,10.25%,Los Angeles
Isla Vista,7.75%,Santa Barbara
Island Mountain,7.25%,Trinity
Isleton,8.75%,Sacramento
Ivanhoe,7.75%,Tulare
Ivanpah,7.75%,San Bernardino
Jackson,7.75%,Amador
Jacumba,7.75%,San Diego
Jamacha,7.75%,San Diego
Jamestown,7.25%,Tuolumne
Jamul,7.75%,San Diego
Janesville,7.25%,Lassen
Jenner,8.50%,Sonoma
Johannesburg,8.25%,Kern
Johnsondale,7.75%,Tulare
Johnstonville,7.25%,Lassen
Johnstown,7.75%,San Diego
Jolon,7.75%,Monterey
Joshua Tree,7.75%,San Bernardino
Julian,7.75%,San Diego
Junction City,7.25%,Trinity
June Lake,7.25%,Mono
Juniper,7.25%,Lassen
Jurupa Valley,7.75%,Riverside
Kagel Canyon,9.50%,Los Angeles
Kaweah,7.75%,Tulare
Keddie,7.25%,Plumas
Keeler,7.75%,Inyo
Keene,8.25%,Kern
Kelsey,7.25%,El Dorado
Kelseyville,7.25%,Lake
Kelso,7.75%,San Bernardino
Kensington,8.75%,Contra Costa
Kentfield,8.25%,Marin
Kenwood,8.50%,Sonoma
Kerman,8.98%,Fresno
Kernville,8.25%,Kern
Keswick,7.25%,Shasta
Kettleman City,7.25%,Kings
Keyes,7.88%,Stanislaus
King City,8.75%,Monterey
Kings Beach,7.25%,Placer
Kings Canyon National Park,7.75%,Tulare
Kingsburg,8.98%,Fresno
Kinyon,7.25%,Siskiyou
Kirkwood,7.25%,Alpine
Kit Carson,7.75%,Amador
Klamath,8.25%,Del Norte
Klamath River,7.25%,Siskiyou
Kneeland,7.75%,Humboldt
Knights Ferry,7.88%,Stanislaus
Knights Landing,7.25%,Yolo
